No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-15 01:00:25,579][0m Trial 910 finished with value: 0.7857589794114699 and parameters: {'loss': 'coxph', 'learning_rate': 1.0373330965631253e-06, 'n_estimators': 518, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.194177831956437, 'min_impurity_decrease': 0.6068630368752201, 'max_features': 0.6045682467304292, 'subsample': 0.05513215218532981, 'dropout_rate': 0.7039073826824067, 'ccp_alpha': 0.007174126408044249}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:01:25,591][0m Trial 911 finished with value: 0.7816042600224287 and parameters: {'loss': 'coxph', 'learning_rate': 1.0112714171769021e-06, 'n_estimators': 461, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1936587195371325, 'min_impurity_decrease': 0.6231493904675628, 'max_features': 0.6202224998685599, 'subsample': 0.05922723167083299, 'dropout_rate': 0.7035933111614916, 'ccp_alpha': 0.08223542069220453}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:02:24,854][0m Trial 912 finished with value: 0.7835594368369472 and parameters: {'loss': 'coxph', 'learning_rate': 1.0112454350145392e-06, 'n_estimators': 457, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.20528586581090374, 'min_impurity_decrease': 0.5840768518702997, 'max_features': 0.6006458887134655, 'subsample': 0.05952163918292721, 'dropout_rate': 0.7288092841556586, 'ccp_alpha': 0.01180224645400832}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:03:31,820][0m Trial 913 finished with value: 0.7835006588418729 and parameters: {'loss': 'coxph', 'learning_rate': 1.0748717311758353e-06, 'n_estimators': 502, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.2016762897439683, 'min_impurity_decrease': 0.59804129126125, 'max_features': 0.5940379376222431, 'subsample': 0.05978002257572465, 'dropout_rate': 0.7192787174294986, 'ccp_alpha': 0.002511131533316781}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:04:21,476][0m Trial 914 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.2607213496791393e-06, 'n_estimators': 424, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.2003322153189494, 'min_impurity_decrease': 0.6117837681489424, 'max_features': 0.5804586965106648, 'subsample': 0.060518304231859346, 'dropout_rate': 0.7154882824783115, 'ccp_alpha': 0.17191973639723696}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:05:14,659][0m Trial 915 finished with value: 0.7817869400376652 and parameters: {'loss': 'coxph', 'learning_rate': 1.0736935844434162e-06, 'n_estimators': 434, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.18231568362234174, 'min_impurity_decrease': 0.5979169399569265, 'max_features': 0.5945984977342462, 'subsample': 0.05930162600603811, 'dropout_rate': 0.703181472924899, 'ccp_alpha': 0.07948429579744072}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:06:11,565][0m Trial 916 finished with value: 0.7834518846936576 and parameters: {'loss': 'coxph', 'learning_rate': 1.1117511894108097e-06, 'n_estimators': 454, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.19211731137680346, 'min_impurity_decrease': 0.5951171062855644, 'max_features': 0.5942794015508351, 'subsample': 0.058261608752211536, 'dropout_rate': 0.7305562430401825, 'ccp_alpha': 0.0036357323327736797}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:06:32,389][0m Trial 917 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 1.0094529709578195e-06, 'n_estimators': 471, 'criterion': 'absolute_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.18510529460955963, 'min_impurity_decrease': 0.5893276015825616, 'max_features': 0.5619348261503072, 'subsample': 0.056923536544902606, 'dropout_rate': 0.7362771295597416, 'ccp_alpha': 0.003263007678029585}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:07:34,754][0m Trial 918 finished with value: 0.7847909100453629 and parameters: {'loss': 'coxph', 'learning_rate': 1.0430604430339857e-06, 'n_estimators': 452, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16327500150367524, 'min_impurity_decrease': 0.6008644080415653, 'max_features': 0.5994563873070592, 'subsample': 0.05507867078882387, 'dropout_rate': 0.7033860215819563, 'ccp_alpha': 0.007243781967091546}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:08:31,388][0m Trial 919 finished with value: 0.7842766394392983 and parameters: {'loss': 'coxph', 'learning_rate': 1.0563077837973686e-06, 'n_estimators': 449, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16404046201756817, 'min_impurity_decrease': 0.5998688464907352, 'max_features': 0.5972926517271694, 'subsample': 0.06478429413909594, 'dropout_rate': 0.7036052319369521, 'ccp_alpha': 0.0053728226439230566}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:09:27,419][0m Trial 920 finished with value: 0.7841387237915888 and parameters: {'loss': 'coxph', 'learning_rate': 1.0312369217031805e-06, 'n_estimators': 443, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1438438242516058, 'min_impurity_decrease': 0.6059025557692287, 'max_features': 0.6014432502014734, 'subsample': 0.060561643700265996, 'dropout_rate': 0.7028454152284189, 'ccp_alpha': 0.025745388685487033}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:10:26,962][0m Trial 921 finished with value: 0.7848431160685134 and parameters: {'loss': 'coxph', 'learning_rate': 1.0125332926324963e-06, 'n_estimators': 455, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1628908579141734, 'min_impurity_decrease': 0.6051517968841048, 'max_features': 0.5960015678132048, 'subsample': 0.06160868534201492, 'dropout_rate': 0.7047515725298251, 'ccp_alpha': 0.015119257223360359}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:11:22,298][0m Trial 922 finished with value: 0.7845679253512767 and parameters: {'loss': 'coxph', 'learning_rate': 1.011152684935717e-06, 'n_estimators': 437, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16195974753177794, 'min_impurity_decrease': 0.5988549482239466, 'max_features': 0.5982595186907481, 'subsample': 0.06731339595963816, 'dropout_rate': 0.7001651693393428, 'ccp_alpha': 0.0010601486014556946}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:12:19,980][0m Trial 923 finished with value: 0.7853507700859962 and parameters: {'loss': 'coxph', 'learning_rate': 1.0415483398349797e-06, 'n_estimators': 445, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.15793357677591735, 'min_impurity_decrease': 0.6094975618069876, 'max_features': 0.5991328675724835, 'subsample': 0.06667428553324457, 'dropout_rate': 0.698220819914554, 'ccp_alpha': 0.010077724980329994}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:13:15,577][0m Trial 924 finished with value: 0.7852526330058399 and parameters: {'loss': 'coxph', 'learning_rate': 1.007496556781277e-06, 'n_estimators': 427, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1591340265086527, 'min_impurity_decrease': 0.6392683119399651, 'max_features': 0.5997622758361182, 'subsample': 0.06593248006292213, 'dropout_rate': 0.7002243107340378, 'ccp_alpha': 0.005071966589359073}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:14:12,217][0m Trial 925 finished with value: 0.7847623075171084 and parameters: {'loss': 'coxph', 'learning_rate': 1.0626958155447199e-06, 'n_estimators': 439, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16058246433609485, 'min_impurity_decrease': 0.644688043030839, 'max_features': 0.5777714077561737, 'subsample': 0.0687323312840501, 'dropout_rate': 0.7009738231309055, 'ccp_alpha': 0.008812168809596635}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:15:04,946][0m Trial 926 finished with value: 0.7846345094283952 and parameters: {'loss': 'coxph', 'learning_rate': 1.0067922154038745e-06, 'n_estimators': 415, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.15930500066806536, 'min_impurity_decrease': 0.6440206590024872, 'max_features': 0.5776551556197678, 'subsample': 0.06807727475980666, 'dropout_rate': 0.7037969361339973, 'ccp_alpha': 0.0037101629352826854}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:15:57,222][0m Trial 927 finished with value: 0.7840750282145306 and parameters: {'loss': 'coxph', 'learning_rate': 1.001261020061715e-06, 'n_estimators': 413, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1648253919290779, 'min_impurity_decrease': 0.6435306572982556, 'max_features': 0.5452666741809056, 'subsample': 0.06642593851591891, 'dropout_rate': 0.7003455982022356, 'ccp_alpha': 0.005700651195589386}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:16:51,591][0m Trial 928 finished with value: 0.7837732206501219 and parameters: {'loss': 'coxph', 'learning_rate': 1.0100165845331482e-06, 'n_estimators': 417, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16158108596464993, 'min_impurity_decrease': 0.658375402529256, 'max_features': 0.5544309355194297, 'subsample': 0.07042510520978992, 'dropout_rate': 0.6972341663071713, 'ccp_alpha': 0.005570497534988709}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:17:43,585][0m Trial 929 finished with value: 0.7836262099073845 and parameters: {'loss': 'coxph', 'learning_rate': 1.0196429698212675e-06, 'n_estimators': 401, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.15981309535140473, 'min_impurity_decrease': 0.648635580505943, 'max_features': 0.5503057858970293, 'subsample': 0.07018055452053358, 'dropout_rate': 0.7022204171994648, 'ccp_alpha': 0.0031735487905122086}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:18:33,916][0m Trial 930 finished with value: 0.7846380047502909 and parameters: {'loss': 'coxph', 'learning_rate': 1.0163839742353752e-06, 'n_estimators': 406, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1619789099506345, 'min_impurity_decrease': 0.6438550859470046, 'max_features': 0.5329481084954071, 'subsample': 0.07808625657365321, 'dropout_rate': 0.6974901371057354, 'ccp_alpha': 0.004665410992060005}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:19:22,390][0m Trial 931 finished with value: 0.7838605084504404 and parameters: {'loss': 'coxph', 'learning_rate': 1.0471387359549446e-06, 'n_estimators': 393, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.15827627250638995, 'min_impurity_decrease': 0.6536822804517177, 'max_features': 0.5414882941445736, 'subsample': 0.075720002889796, 'dropout_rate': 0.6964491599770238, 'ccp_alpha': 0.0050019702186703}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:20:14,223][0m Trial 932 finished with value: 0.7746820571397345 and parameters: {'loss': 'coxph', 'learning_rate': 1.244599836529462e-06, 'n_estimators': 416, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.15036928655153572, 'min_impurity_decrease': 0.6486631786692578, 'max_features': 0.5304926393601938, 'subsample': 0.07254185919866903, 'dropout_rate': 0.693832115176506, 'ccp_alpha': 0.1580016494107226}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:21:09,456][0m Trial 933 finished with value: 0.774749827536511 and parameters: {'loss': 'coxph', 'learning_rate': 1.008401668773727e-06, 'n_estimators': 434, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16299464657734639, 'min_impurity_decrease': 0.6364116360663462, 'max_features': 0.5692637754779849, 'subsample': 0.07951947538357852, 'dropout_rate': 0.6995178529306717, 'ccp_alpha': 0.1575707154575333}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:21:55,434][0m Trial 934 finished with value: 0.7846242297800285 and parameters: {'loss': 'coxph', 'learning_rate': 1.2802169591978608e-06, 'n_estimators': 382, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.145280609401642, 'min_impurity_decrease': 0.6587994200604795, 'max_features': 0.5489349989808588, 'subsample': 0.06965240297044045, 'dropout_rate': 0.6976051563878646, 'ccp_alpha': 0.0033126880641284116}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:22:43,279][0m Trial 935 finished with value: 0.7846470560356497 and parameters: {'loss': 'coxph', 'learning_rate': 1.2919364906711854e-06, 'n_estimators': 395, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.14157826859930067, 'min_impurity_decrease': 0.6749571204485316, 'max_features': 0.5507377861369152, 'subsample': 0.06919100462605876, 'dropout_rate': 0.696821150004426, 'ccp_alpha': 0.0048842329382292075}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:23:31,225][0m Trial 936 finished with value: 0.7846363393312752 and parameters: {'loss': 'coxph', 'learning_rate': 1.265549732698131e-06, 'n_estimators': 388, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.14010582955988485, 'min_impurity_decrease': 0.6727583835477395, 'max_features': 0.5412625274818597, 'subsample': 0.07489089021029877, 'dropout_rate': 0.6967203679763132, 'ccp_alpha': 0.003290724250431521}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:23:50,229][0m Trial 937 finished with value: -0.38415455262869197 and parameters: {'loss': 'squared', 'learning_rate': 1.2730757857464337e-06, 'n_estimators': 390, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.14570719416185376, 'min_impurity_decrease': 0.680997962609594, 'max_features': 0.5391117210483157, 'subsample': 0.0764604207507591, 'dropout_rate': 0.6970570588475692, 'ccp_alpha': 0.0010457779959551407}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:24:31,688][0m Trial 938 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.2352180967619208e-06, 'n_estimators': 371, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13443628323367618, 'min_impurity_decrease': 0.6286365156158874, 'max_features': 0.5135594110914907, 'subsample': 0.0732938483455818, 'dropout_rate': 0.6945739791010499, 'ccp_alpha': 0.15107914456188876}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:25:19,719][0m Trial 939 finished with value: 0.7786142876164502 and parameters: {'loss': 'coxph', 'learning_rate': 1.0264198584922423e-06, 'n_estimators': 412, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16738788087497186, 'min_impurity_decrease': 0.6144320803298112, 'max_features': 0.5742940584978663, 'subsample': 0.07145452313587612, 'dropout_rate': 0.6979783107619444, 'ccp_alpha': 0.1434329448158548}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:26:02,803][0m Trial 940 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.3603102402710173e-06, 'n_estimators': 384, 'criterion': 'absolute_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.15606367384405317, 'min_impurity_decrease': 0.6687748731454398, 'max_features': 0.553864733459051, 'subsample': 0.07705979382087853, 'dropout_rate': 0.7003529682609301, 'ccp_alpha': 0.14165291588246381}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:26:56,953][0m Trial 941 finished with value: 0.7808111487725624 and parameters: {'loss': 'coxph', 'learning_rate': 1.3346982696337309e-06, 'n_estimators': 431, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.14390200288637758, 'min_impurity_decrease': 0.640083548627168, 'max_features': 0.5310253259955697, 'subsample': 0.07020776318538775, 'dropout_rate': 0.6968346035943515, 'ccp_alpha': 0.08599125944011084}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:27:44,073][0m Trial 942 finished with value: 0.7742295917206341 and parameters: {'loss': 'coxph', 'learning_rate': 1.0004389637680575e-06, 'n_estimators': 407, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.16871556817733918, 'min_impurity_decrease': 0.6657924749784085, 'max_features': 0.5791407733773647, 'subsample': 0.07468541669904323, 'dropout_rate': 0.6971193078681124, 'ccp_alpha': 0.1620074320140397}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:28:38,198][0m Trial 943 finished with value: 0.7848205631473298 and parameters: {'loss': 'coxph', 'learning_rate': 1.0079675371319989e-06, 'n_estimators': 438, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1380357899293512, 'min_impurity_decrease': 0.6198282207871746, 'max_features': 0.5652608638567891, 'subsample': 0.070225685607422, 'dropout_rate': 0.7042851018870578, 'ccp_alpha': 0.0063755359335300205}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:29:32,589][0m Trial 944 finished with value: 0.7805276717443232 and parameters: {'loss': 'coxph', 'learning_rate': 1.2284545198291553e-06, 'n_estimators': 443, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.12603969020916825, 'min_impurity_decrease': 0.6175228961817171, 'max_features': 0.5393394488401341, 'subsample': 0.0823792465463231, 'dropout_rate': 0.6912534980923095, 'ccp_alpha': 0.08465930936525662}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:30:21,422][0m Trial 945 finished with value: 0.784622577748211 and parameters: {'loss': 'coxph', 'learning_rate': 1.2654802161926587e-06, 'n_estimators': 394, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.14405939535156634, 'min_impurity_decrease': 0.6296661779854565, 'max_features': 0.5663532176234283, 'subsample': 0.06987173365734708, 'dropout_rate': 0.7034807008199121, 'ccp_alpha': 0.002259041423268715}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:31:11,044][0m Trial 946 finished with value: 0.7846218445459439 and parameters: {'loss': 'coxph', 'learning_rate': 1.0121295725712421e-06, 'n_estimators': 388, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13983904654435864, 'min_impurity_decrease': 0.6371788414556186, 'max_features': 0.5647508101917698, 'subsample': 0.07697447681440968, 'dropout_rate': 0.6892563461008454, 'ccp_alpha': 0.00801495614629344}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:31:59,344][0m Trial 947 finished with value: 0.7849753780064231 and parameters: {'loss': 'coxph', 'learning_rate': 1.3188454467024958e-06, 'n_estimators': 382, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13881697250391334, 'min_impurity_decrease': 0.6323809390399985, 'max_features': 0.571590121477302, 'subsample': 0.08414437809439189, 'dropout_rate': 0.6831512693717916, 'ccp_alpha': 0.007304283996358999}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:32:45,178][0m Trial 948 finished with value: 0.785546639990022 and parameters: {'loss': 'coxph', 'learning_rate': 1.303228766998938e-06, 'n_estimators': 372, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1365516687674791, 'min_impurity_decrease': 0.6292793229064355, 'max_features': 0.5704418232247005, 'subsample': 0.09094398076910094, 'dropout_rate': 0.6844284019863283, 'ccp_alpha': 0.005049851148747536}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:33:30,002][0m Trial 949 finished with value: 0.7849212982592239 and parameters: {'loss': 'coxph', 'learning_rate': 1.2660856030114682e-06, 'n_estimators': 361, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13894011557861452, 'min_impurity_decrease': 0.6913274309299665, 'max_features': 0.5733114971729499, 'subsample': 0.08725841946773558, 'dropout_rate': 0.6886225979588025, 'ccp_alpha': 0.006193091033248584}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:34:08,689][0m Trial 950 finished with value: 0.7634353567800718 and parameters: {'loss': 'coxph', 'learning_rate': 1.3205697501543365e-06, 'n_estimators': 353, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13519377442265582, 'min_impurity_decrease': 0.6834229963760452, 'max_features': 0.5723553148396527, 'subsample': 0.08929417123242343, 'dropout_rate': 0.6861576245142886, 'ccp_alpha': 0.16793748634402852}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:34:50,679][0m Trial 951 finished with value: 0.7679398197172761 and parameters: {'loss': 'coxph', 'learning_rate': 1.321495743038409e-06, 'n_estimators': 370, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.11828919663234494, 'min_impurity_decrease': 0.6320146522888769, 'max_features': 0.564408885400723, 'subsample': 0.09939650089018534, 'dropout_rate': 0.684696141312646, 'ccp_alpha': 0.1484958983533353}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:35:38,689][0m Trial 952 finished with value: 0.7839612671106538 and parameters: {'loss': 'coxph', 'learning_rate': 1.3091847528254735e-06, 'n_estimators': 379, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1510163365513944, 'min_impurity_decrease': 0.7043307301468328, 'max_features': 0.5009825017539219, 'subsample': 0.08082341797509963, 'dropout_rate': 0.6846252552179686, 'ccp_alpha': 0.0037099786614535803}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:36:19,107][0m Trial 953 finished with value: 0.7803299903547251 and parameters: {'loss': 'coxph', 'learning_rate': 1.2638673774642596e-06, 'n_estimators': 359, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13724650929758858, 'min_impurity_decrease': 0.6282274522136791, 'max_features': 0.5803182268823535, 'subsample': 0.08650065267392618, 'dropout_rate': 0.70908701588505, 'ccp_alpha': 0.11319221723271125}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:37:05,418][0m Trial 954 finished with value: 0.7371812073302544 and parameters: {'loss': 'coxph', 'learning_rate': 1.2959597813029988e-06, 'n_estimators': 393, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1309057955552006, 'min_impurity_decrease': 0.6661003692743477, 'max_features': 0.5601847677832011, 'subsample': 0.09022237979030989, 'dropout_rate': 0.6876603884202777, 'ccp_alpha': 0.20667219291433875}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:37:53,709][0m Trial 955 finished with value: 0.7851962874292718 and parameters: {'loss': 'coxph', 'learning_rate': 1.3029749233504002e-06, 'n_estimators': 399, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.14796653895834808, 'min_impurity_decrease': 0.6168304966354279, 'max_features': 0.5855732190682075, 'subsample': 0.08738274022188756, 'dropout_rate': 0.7057757381902401, 'ccp_alpha': 0.00475659425609767}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:38:33,538][0m Trial 956 finished with value: 0.7799552356901692 and parameters: {'loss': 'coxph', 'learning_rate': 1.3325789543522717e-06, 'n_estimators': 346, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13914287405247508, 'min_impurity_decrease': 0.6914901140122387, 'max_features': 0.5678761820552832, 'subsample': 0.08380021217102569, 'dropout_rate': 0.7146383889028366, 'ccp_alpha': 0.10403403997750764}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:38:49,670][0m Trial 957 finished with value: -0.3610648024810385 and parameters: {'loss': 'squared', 'learning_rate': 1.3870043974632012e-06, 'n_estimators': 381, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1490970506697155, 'min_impurity_decrease': 0.6507614015852013, 'max_features': 0.5174361056746855, 'subsample': 0.0912570064605822, 'dropout_rate': 0.6906228011492451, 'ccp_alpha': 0.2231129949380055}. Best is trial 910 with value: 0.7857589794114699.[0m
[32m[I 2022-04-15 01:39:38,599][0m Trial 958 finished with value: 0.7857038591634682 and parameters: {'loss': 'coxph', 'learning_rate': 1.3283924178538249e-06, 'n_estimators': 397, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.12395423834806345, 'min_impurity_decrease': 0.6226100877073362, 'max_features': 0.5869626504522949, 'subsample': 0.09164516317382573, 'dropout_rate': 0.6869377804314037, 'ccp_alpha': 0.0029018177188025974}. Best is trial 910 with value: 0.7857589794114699.[0m
