No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-14 05:10:49,615][0m Trial 127 finished with value: 0.5521240026945989 and parameters: {'loss': 'coxph', 'learning_rate': 0.00047300674215559034, 'n_estimators': 617, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.05952237788418639, 'min_impurity_decrease': 0.13517706776902497, 'max_features': 0.7880508530276704, 'subsample': 0.5105521574915229, 'dropout_rate': 0.34075378410000257, 'ccp_alpha': 0.4809638027984149}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:12:08,563][0m Trial 128 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006674669863779732, 'n_estimators': 727, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.06708520615090578, 'min_impurity_decrease': 0.11012888356351438, 'max_features': 0.8127446631052029, 'subsample': 0.4559040632960161, 'dropout_rate': 0.39285478389816864, 'ccp_alpha': 4.459334259677756}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:13:08,979][0m Trial 129 finished with value: 0.7307170641187299 and parameters: {'loss': 'coxph', 'learning_rate': 0.000601953886883217, 'n_estimators': 583, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.07486476396244512, 'min_impurity_decrease': 0.08323186267749881, 'max_features': 0.7642313261519038, 'subsample': 0.5243706154203942, 'dropout_rate': 0.288819269785594, 'ccp_alpha': 0.1440526968784357}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:13:51,850][0m Trial 130 finished with value: 0.6833939625538352 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005778700263443, 'n_estimators': 524, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.40998805333087696, 'min_impurity_decrease': 0.09410650479083632, 'max_features': 0.7675539965265816, 'subsample': 0.5286795392776843, 'dropout_rate': 0.303043314089012, 'ccp_alpha': 0.13170588046093087}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:14:54,975][0m Trial 131 finished with value: 0.7282548634833041 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005940688103540653, 'n_estimators': 579, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.07977993917898656, 'min_impurity_decrease': 0.1254757963861833, 'max_features': 0.7281950374859173, 'subsample': 0.47834775336514207, 'dropout_rate': 0.22840030126757588, 'ccp_alpha': 0.19460004357280944}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:15:51,618][0m Trial 132 finished with value: 0.7351887645126676 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009907067953957133, 'n_estimators': 553, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.08591588107943292, 'min_impurity_decrease': 0.13276442731260157, 'max_features': 0.7381873710519532, 'subsample': 0.48222534937138106, 'dropout_rate': 0.22421886872000857, 'ccp_alpha': 0.1349839679081256}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:17:14,812][0m Trial 133 finished with value: 0.7039670763728368 and parameters: {'loss': 'coxph', 'learning_rate': 0.00031364732030140553, 'n_estimators': 673, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0854948558540669, 'min_impurity_decrease': 0.12157919122579429, 'max_features': 0.7225680720952207, 'subsample': 0.46966740054579575, 'dropout_rate': 0.2311875254677101, 'ccp_alpha': 0.3484919033867284}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:18:09,911][0m Trial 134 finished with value: 0.7276948618306355 and parameters: {'loss': 'coxph', 'learning_rate': 0.00017878601424646152, 'n_estimators': 578, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.10311624309790755, 'min_impurity_decrease': 0.16880412830889324, 'max_features': 0.6394511265278817, 'subsample': 0.5518392328119448, 'dropout_rate': 0.2789224122554168, 'ccp_alpha': 0.20208553510126767}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:19:00,490][0m Trial 135 finished with value: 0.726173921271595 and parameters: {'loss': 'coxph', 'learning_rate': 0.00015804328944512674, 'n_estimators': 560, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.1079555740050733, 'min_impurity_decrease': 0.1445057980327311, 'max_features': 0.6049977660556582, 'subsample': 0.5628858348607294, 'dropout_rate': 0.28114145009065666, 'ccp_alpha': 0.16659805462837943}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:19:36,690][0m Trial 136 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006070732426015638, 'n_estimators': 476, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.10147467224204003, 'min_impurity_decrease': 0.0856828665428287, 'max_features': 0.6384017940558786, 'subsample': 0.47869111388943547, 'dropout_rate': 0.31629906855429357, 'ccp_alpha': 0.5984314348115776}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:20:31,077][0m Trial 137 finished with value: 0.7322570152249945 and parameters: {'loss': 'coxph', 'learning_rate': 0.0002295520382705662, 'n_estimators': 577, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07605801788768732, 'min_impurity_decrease': 0.159647013577371, 'max_features': 0.6787504340675211, 'subsample': 0.5465588973986039, 'dropout_rate': 0.22457183031179365, 'ccp_alpha': 0.20972379320495468}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:21:25,761][0m Trial 138 finished with value: 0.5632066439407801 and parameters: {'loss': 'coxph', 'learning_rate': 0.0001722614356848182, 'n_estimators': 582, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07964683199709999, 'min_impurity_decrease': 0.16970170366234458, 'max_features': 0.6695126988143567, 'subsample': 0.5488634603165444, 'dropout_rate': 0.28552920749064387, 'ccp_alpha': 0.4214742464910491}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:22:20,872][0m Trial 139 finished with value: 0.7250150864056857 and parameters: {'loss': 'coxph', 'learning_rate': 0.00023679982082048723, 'n_estimators': 548, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09003131683564086, 'min_impurity_decrease': 0.1237626491470614, 'max_features': 0.6298847247913776, 'subsample': 0.4926743712586138, 'dropout_rate': 0.22324114046866794, 'ccp_alpha': 0.10849352009344622}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:23:07,509][0m Trial 140 finished with value: 0.27061110080632533 and parameters: {'loss': 'squared', 'learning_rate': 0.0002579782975605719, 'n_estimators': 513, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.05763246043612646, 'min_impurity_decrease': 0.10855728702422644, 'max_features': 0.7245763059694994, 'subsample': 0.5744190503649764, 'dropout_rate': 0.24401617042635795, 'ccp_alpha': 0.3176258192160226}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:24:12,010][0m Trial 141 finished with value: 0.7282828923543423 and parameters: {'loss': 'coxph', 'learning_rate': 0.00038051116808378684, 'n_estimators': 617, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.11883674381160181, 'min_impurity_decrease': 0.15656066966111704, 'max_features': 0.6825362264881503, 'subsample': 0.5244126211823404, 'dropout_rate': 0.22052230809718631, 'ccp_alpha': 0.21687376470196945}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:25:12,712][0m Trial 142 finished with value: 0.7325994983873161 and parameters: {'loss': 'coxph', 'learning_rate': 0.0003430853995032833, 'n_estimators': 614, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.11538616953149657, 'min_impurity_decrease': 0.15350404642479623, 'max_features': 0.6773997516665287, 'subsample': 0.5445042907066553, 'dropout_rate': 0.21617766828933038, 'ccp_alpha': 0.1996211213428581}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:26:17,639][0m Trial 143 finished with value: 0.5521240026945989 and parameters: {'loss': 'coxph', 'learning_rate': 0.00010053009935478162, 'n_estimators': 612, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.12010971017620906, 'min_impurity_decrease': 0.16109088863727375, 'max_features': 0.6768937546519018, 'subsample': 0.5380648267823643, 'dropout_rate': 0.20527168020916148, 'ccp_alpha': 0.5043019558173183}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:27:33,719][0m Trial 144 finished with value: 0.7266888558913568 and parameters: {'loss': 'coxph', 'learning_rate': 0.000334199383131626, 'n_estimators': 657, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.10172419340171059, 'min_impurity_decrease': 0.14219769631699436, 'max_features': 0.7376130427680998, 'subsample': 0.5105068751643229, 'dropout_rate': 0.2581962850107283, 'ccp_alpha': 0.20424590923479233}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:29:06,492][0m Trial 145 finished with value: 0.6472008845622279 and parameters: {'loss': 'coxph', 'learning_rate': 0.0004084278249243498, 'n_estimators': 703, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.11290752458605445, 'min_impurity_decrease': 0.17905544837672396, 'max_features': 0.6537266318047334, 'subsample': 0.542420404200416, 'dropout_rate': 0.16016325002378978, 'ccp_alpha': 0.3722947410546922}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:30:00,821][0m Trial 146 finished with value: 0.7334996603982328 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005574345323535549, 'n_estimators': 572, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.07394707239349518, 'min_impurity_decrease': 0.13599986289563387, 'max_features': 0.7594447388355072, 'subsample': 0.4882670464176032, 'dropout_rate': 0.21681529890571377, 'ccp_alpha': 0.09434842788945534}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:31:01,635][0m Trial 147 finished with value: 0.7325077891610807 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008636915100638067, 'n_estimators': 608, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.08130909852125226, 'min_impurity_decrease': 0.1271932947969762, 'max_features': 0.7640148100765497, 'subsample': 0.48350083330295157, 'dropout_rate': 0.21747027681189052, 'ccp_alpha': 0.10729027496905275}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:32:16,465][0m Trial 148 finished with value: 0.7342773066687582 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009128343070018899, 'n_estimators': 626, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07416817391843875, 'min_impurity_decrease': 0.08675415179822349, 'max_features': 0.7533558419985691, 'subsample': 0.452943229469339, 'dropout_rate': 0.19145384615148114, 'ccp_alpha': 0.08529822897284338}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:33:56,966][0m Trial 149 finished with value: 0.7335627977983079 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007524762110517661, 'n_estimators': 749, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.07569981052040449, 'min_impurity_decrease': 0.08319511263529003, 'max_features': 0.7614664186113481, 'subsample': 0.4493750113581942, 'dropout_rate': 0.19741245576998154, 'ccp_alpha': 0.09494772257408012}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:35:52,321][0m Trial 150 finished with value: 0.7339413726970873 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009013109814399311, 'n_estimators': 789, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07375839529920063, 'min_impurity_decrease': 0.08896637250807973, 'max_features': 0.7495972265496278, 'subsample': 0.4550948364435641, 'dropout_rate': 0.1640564656293311, 'ccp_alpha': 0.09143358882038141}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:38:24,688][0m Trial 151 finished with value: 0.7326324304005409 and parameters: {'loss': 'coxph', 'learning_rate': 0.000752920334899381, 'n_estimators': 909, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07770713153928656, 'min_impurity_decrease': 0.08195021312157937, 'max_features': 0.7498371869562991, 'subsample': 0.4529571872250335, 'dropout_rate': 0.15283991822266166, 'ccp_alpha': 0.05390390460126022}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:41:08,915][0m Trial 152 finished with value: 0.7310455931878772 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008558889572426911, 'n_estimators': 918, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07284416645942762, 'min_impurity_decrease': 0.08336648810736873, 'max_features': 0.7471304643466612, 'subsample': 0.45503515704111314, 'dropout_rate': 0.11018899586200506, 'ccp_alpha': 0.09356235361535933}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:43:41,166][0m Trial 153 finished with value: 0.7345479612302902 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009324202968096583, 'n_estimators': 855, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07559632366105817, 'min_impurity_decrease': 0.08223841159215409, 'max_features': 0.777818493691465, 'subsample': 0.45780526609256056, 'dropout_rate': 0.10684415173323854, 'ccp_alpha': 0.08684640950263488}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:46:22,444][0m Trial 154 finished with value: 0.7223549871421615 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009264652720167706, 'n_estimators': 888, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07576370137691871, 'min_impurity_decrease': 0.07774067588047671, 'max_features': 0.7125812908462148, 'subsample': 0.45567842672240566, 'dropout_rate': 0.10618183829514233, 'ccp_alpha': 0.10153760373654903}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:49:11,408][0m Trial 155 finished with value: 0.7296974787376339 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010102541407228625, 'n_estimators': 962, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.087285459705612, 'min_impurity_decrease': 0.09385791843455855, 'max_features': 0.7460053063492758, 'subsample': 0.43639687180191555, 'dropout_rate': 0.12648995489396803, 'ccp_alpha': 0.002319598931297427}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:51:56,724][0m Trial 156 finished with value: 0.7243472321461396 and parameters: {'loss': 'coxph', 'learning_rate': 0.0014430551605444525, 'n_estimators': 913, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09005795998553104, 'min_impurity_decrease': 0.07818900448177811, 'max_features': 0.7303232468257045, 'subsample': 0.42637659768319214, 'dropout_rate': 0.06640721748037046, 'ccp_alpha': 0.09232573758966967}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:54:08,959][0m Trial 157 finished with value: 0.7039229575410486 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005254012066173198, 'n_estimators': 856, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0773986272356501, 'min_impurity_decrease': 0.053964845964987726, 'max_features': 0.7769219620579404, 'subsample': 0.45890580519680424, 'dropout_rate': 0.16176888300450626, 'ccp_alpha': 0.3583931656475216}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:55:48,841][0m Trial 158 finished with value: 0.7305411625625486 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008721335895550044, 'n_estimators': 763, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06929458810381567, 'min_impurity_decrease': 0.10168448457733298, 'max_features': 0.779707543854855, 'subsample': 0.4460214337440584, 'dropout_rate': 0.14165627184016719, 'ccp_alpha': 0.08251604275009687}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 05:57:35,339][0m Trial 159 finished with value: 0.7096125756151076 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011542422318438596, 'n_estimators': 793, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05476676681219515, 'min_impurity_decrease': 0.09893410322231384, 'max_features': 0.7528686025643464, 'subsample': 0.48485766383250484, 'dropout_rate': 0.1784333161790366, 'ccp_alpha': 0.31580266159868936}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 06:00:28,270][0m Trial 160 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0015885050101535052, 'n_estimators': 953, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09428877355509953, 'min_impurity_decrease': 0.9009404788695484, 'max_features': 0.7052975245683992, 'subsample': 0.4163538487054508, 'dropout_rate': 0.08287279085471583, 'ccp_alpha': 0.09918374839501425}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 06:02:42,340][0m Trial 161 finished with value: 0.7274305481196129 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008527676614696503, 'n_estimators': 821, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.07081635948053384, 'min_impurity_decrease': 0.09787940827317909, 'max_features': 0.7813357434147239, 'subsample': 0.45983237238867175, 'dropout_rate': 0.0461108684092531, 'ccp_alpha': 0.11031728917503376}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 06:04:50,286][0m Trial 162 finished with value: 0.73710729089418 and parameters: {'loss': 'coxph', 'learning_rate': 0.00105282890776594, 'n_estimators': 884, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06648551590699284, 'min_impurity_decrease': 0.0759182177572697, 'max_features': 0.7525873245575582, 'subsample': 0.44003940223869864, 'dropout_rate': 0.1476760639472197, 'ccp_alpha': 0.008852483539499911}. Best is trial 121 with value: 0.7390170571688387.[0m
[32m[I 2022-04-14 06:07:11,885][0m Trial 163 finished with value: 0.74089837306326 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011471794690030585, 'n_estimators': 894, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08214741942055709, 'min_impurity_decrease': 0.05927694331917609, 'max_features': 0.7404839431832528, 'subsample': 0.38505731661233195, 'dropout_rate': 0.12172341347729101, 'ccp_alpha': 0.011423528592929805}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:10:02,767][0m Trial 164 finished with value: 0.7337191038216663 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012982079847268185, 'n_estimators': 999, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08479987385762115, 'min_impurity_decrease': 0.05878257873020534, 'max_features': 0.7354852240124725, 'subsample': 0.3848745563472065, 'dropout_rate': 0.14158074492827696, 'ccp_alpha': 0.0011503880637212527}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:12:49,031][0m Trial 165 finished with value: 0.7293918701599119 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012407566097321144, 'n_estimators': 984, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08833195877363129, 'min_impurity_decrease': 0.05465551807815677, 'max_features': 0.7232190459962555, 'subsample': 0.4187498447539504, 'dropout_rate': 0.15753145234511004, 'ccp_alpha': 0.010832390634700845}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:14:59,817][0m Trial 166 finished with value: 0.7329472423486602 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010666149910328222, 'n_estimators': 872, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1002201360380538, 'min_impurity_decrease': 0.026468319301071422, 'max_features': 0.6849341574147423, 'subsample': 0.3777466413495885, 'dropout_rate': 0.13924826488815464, 'ccp_alpha': 0.001519943763743585}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:17:09,890][0m Trial 167 finished with value: 0.7222175238955462 and parameters: {'loss': 'coxph', 'learning_rate': 0.001101848208648278, 'n_estimators': 847, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09577013604062719, 'min_impurity_decrease': 0.023753057034595106, 'max_features': 0.17820009439878753, 'subsample': 0.3871381228896599, 'dropout_rate': 0.14385026744970103, 'ccp_alpha': 0.005323057497212971}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:19:40,436][0m Trial 168 finished with value: 0.7250526303641469 and parameters: {'loss': 'coxph', 'learning_rate': 0.0018543177375094696, 'n_estimators': 925, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.04840902365895136, 'min_impurity_decrease': 0.06380088542569717, 'max_features': 0.7364609404869795, 'subsample': 0.33182556095607374, 'dropout_rate': 0.11265903166277094, 'ccp_alpha': 0.2847669562014543}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:21:48,669][0m Trial 169 finished with value: 0.35922938377005076 and parameters: {'loss': 'squared', 'learning_rate': 0.001382214130589336, 'n_estimators': 886, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.10413629457798408, 'min_impurity_decrease': 0.031245909287081354, 'max_features': 0.6986661886983188, 'subsample': 0.3820123969732516, 'dropout_rate': 0.1924743392637646, 'ccp_alpha': 1.4735905935203097}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:24:19,675][0m Trial 170 finished with value: 0.7361726408609386 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007224479971843204, 'n_estimators': 882, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05745468785563582, 'min_impurity_decrease': 0.04130147159146345, 'max_features': 0.7188046629328696, 'subsample': 0.3906323363923514, 'dropout_rate': 0.1279461504985509, 'ccp_alpha': 0.008786251812540807}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:26:41,915][0m Trial 171 finished with value: 0.7311460991175087 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007431830269840138, 'n_estimators': 882, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.05863385491378442, 'min_impurity_decrease': 0.04471201477742344, 'max_features': 0.7117697518581373, 'subsample': 0.3969152370123612, 'dropout_rate': 0.1251732975662589, 'ccp_alpha': 0.01159703310442163}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:28:33,112][0m Trial 172 finished with value: 0.7208651961502139 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007415758567812371, 'n_estimators': 812, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.08521748644574403, 'min_impurity_decrease': 0.018676819530935484, 'max_features': 0.7562448437075869, 'subsample': 0.3498558235655645, 'dropout_rate': 0.1702587281437676, 'ccp_alpha': 0.09811260962878827}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:31:53,850][0m Trial 173 finished with value: 0.7151200225522089 and parameters: {'loss': 'coxph', 'learning_rate': 0.001055266476717745, 'n_estimators': 1000, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.06303854437437693, 'min_impurity_decrease': 0.06742051315120694, 'max_features': 0.7246611852521204, 'subsample': 0.406071521738825, 'dropout_rate': 0.1437740008890346, 'ccp_alpha': 0.1714336839484797}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:33:48,276][0m Trial 174 finished with value: 0.5 and parameters: {'loss': 'coxph', 'learning_rate': 0.0013566429300703785, 'n_estimators': 775, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.045036225505277694, 'min_impurity_decrease': 0.7049967757532849, 'max_features': 0.793517561726974, 'subsample': 0.4360001044575249, 'dropout_rate': 0.09529154452025593, 'ccp_alpha': 0.0014350421001668445}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:36:15,273][0m Trial 175 finished with value: 0.6964895217972178 and parameters: {'loss': 'coxph', 'learning_rate': 0.000541815985340788, 'n_estimators': 938, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.052278843795692254, 'min_impurity_decrease': 0.051283066767760274, 'max_features': 0.6921588226323386, 'subsample': 0.31633048275435116, 'dropout_rate': 0.17269046960097836, 'ccp_alpha': 0.31484876623475405}. Best is trial 163 with value: 0.74089837306326.[0m
[32m[I 2022-04-14 06:38:29,967][0m Trial 176 finished with value: 0.7307675185318336 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009971630080870568, 'n_estimators': 859, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.09520473338504247, 'min_impurity_decrease': 0.11041850026762046, 'max_features': 0.7419241155162789, 'subsample': 0.4875107801340027, 'dropout_rate': 0.20099153225991473, 'ccp_alpha': 0.09552745025600703}. Best is trial 163 with value: 0.74089837306326.[0m
